store_name,zip_code,store_location
Hy-Vee Wine and Spirits / Iowa City,52240,POINT (-91.53046300000001 41.642764)
Hy-Vee Food Store / Iowa City,52240,POINT (-91.518868 41.676095)
Fareway Stores #034 / Iowa City,52240,POINT (-91.48043 41.629617)
New Pioneer Food Co-op / Iowa City,52240,POINT (-91.528718 41.660493)
Hy-Vee Food Store #2 / Iowa City,52240,POINT(-91.5385924 41.6493783)
Hy-Vee Drugstore / Iowa City,52245,POINT (-91.528105 42.207428)
Smokin' Joe's #18 Tobacco and Liquor,52240,POINT (-91.520308 41.641383)
Hartig Drug Store #10,52246,POINT (-91.574025 41.651984)
Sauce,52240,POINT (-91.533522 41.658979)
L&M Mighty Shop,52240,POINT (-91.52843 41.657818)
Kirkwood Liquor & Tobacco,52240,POINT (-91.531628 41.649432)
John's Grocery,52240,POINT (-91.529854 41.663541)
Liquor Downtown / Iowa City,52240,POINT (-91.530181 41.657654)
THE LIQUOR HOUSE,52240,POINT (-91.530225 41.656031)
Wal-Mart 1721 / Iowa City,52246,POINT (-91.552125 41.646646)
Southside Liquor & Tobacco / Iowa Ci,52240,POINT (-91.52741 41.643807)
Fareway Stores #950 / Iowa City,52246,POINT (-91.575636 41.650842)
CVS Pharmacy #8547 / Iowa City,52240,POINT (-91.50008800000002 41.649547)
Kum & Go #53 / Iowa City,52246,POINT (-91.574075 41.649946)
Kum & Go #52 / Iowa City,52240,POINT (-91.537252 41.657904)
Casey's General Store #3322 / Iowa C,52240,POINT (-91.52032 41.641358)
Creekside Market,52240,POINT (-91.493643 41.633009)
KUM & GO #422 / IOWA CITY,52240,POINT (-91.540402 41.653301)
Kum & Go #51 / Iowa City,52240,POINT (-91.530633 41.657837)
Iowa City Fast Break,52240,POINT (-91.571064 41.632792)
Walgreens #05077 / Iowa City,52240,POINT (-91.502717 41.64953800000001)
